Slot,,IDs,resources.dcb (File Name),Clean Name,Type
030E,,051D1A43D688E6F5,WeaponComponent_Axe_Cursed,Corrupted Runic Handle,Axe Pommel
0660,,09DBE9E8E0F0BC01,WeaponComponent_Axe_Finisher_NGP,Forbidden Grip of the Ages +,Axe Pommel
065A,,10834F8A5BA0EF99,Perk_Offense_OnMeleeDamage_HealthDrain_NGP,Hræzla Farmaðr's Grip +,Axe Pommel
0489,,1139DAC200ABA458,UB03_Reveal_Lore,Deadly Grips of Vitality,Axe Pommel
0318,,1A5BA440AEEDC2ED,WeaponComponent_Axe_Finisher,Forbidden Grip of the Ages,Axe Pommel
036D,,1AD2870B105BE4A7,Perk_Offense_AxeHeavyHold_HealthBurst,Weighted Grip of Restoration,Axe Pommel
0663,,1C529BACA42A805C,WeaponComponent_NifleheimSpecial01_NGP,Blightbringer +,Axe Pommel
0683,,1DB9B1E37DC034B9,WeaponComponent_Blades_Nidavellir01_Reinforce2_NGP,Blightguard + Lvl3,Axe Pommel
034C,,1E22D88D41CA6794,WeaponComponent_Blades_OnHeadshot_OffenseBuff,Precision War Handles,Axe Pommel
0672,,20079575B16C9CD2,WeaponComponent_Axe_QueenValkyrie01_NGP,Retribution +,Axe Pommel
066F,,2D0C161E95333090,WeaponComponent_Axe_Valkyrie02_NGP,Wing of the Fallen +,Axe Pommel
031E,,46B2B9A45CE518CF,WeaponComponent_NifleheimSpecial01,Blightbringer,Axe Pommel
037F,,4874EB07A00EB507,Perk_Offense_AxeHeavyHold_RunicBuff,Wieghted Runic Handle,Axe Pommel
0304,,51EC33BE02F4FF28,Perk_Offense_OnMeleeDamage_HealthDrain,Hraezla Farmadr's Grip,Axe Pommel
032F,,532D9E79D0BDDCA1,WeaponComponent_Axe_QueenValkyrie01,Retribution,Axe Pommel
0307,,65A8BCDAAD5B56C3,Perk_Offense_OnMeleeDamage_Shield,Grip of Völunder,Axe Pommel
031A,,6D80B23CF2A863AB,WeaponComponent_Axe_Finisher_Reinforce2,Forbidden Grip of the Ages Lvl3,Axe Pommel
0662,,727620E42CF2657C,WeaponComponent_Axe_Finisher_Reinforce2_NGP,Forbidden Grip of the Ages + lvl3,Axe Pommel
036A,,7B7ABC8730CB6ECC,Perk_Throw_OnHeadshot_Rage,Curved Grip of Fury,Axe Pommel
0361,,7BADA7C632889FBF,WeaponComponent_Blades_OnKill_RageBurst,Deadly Grip of Fury,Axe Pommel
0319,,7C84B23CF2A863AB,WeaponComponent_Axe_Finisher_Reinforce1,Forbidden Grip of the Ages Lvl2,Axe Pommel
0332,,8BBA55B5394A6F9B,WeaponComponent_Axe_Bonus01,PLACEHOLDER,Axe Pommel
0669,,8D44DFEF1148587C,Perk_Weapon_Niflheim_NGP,Mistbourne +,Axe Pommel
0349,,8E0654D9F313282D,WeaponComponent_Blades_OnKill_CooldownBurst,Deadly Recovery Handle,Axe Pommel
031B,,8E5C10D3F9EFA690,Perk_Offense_OnMeleeDamage_ProcLightning,Grip of Tanngiost,Axe Pommel
0312,,93038A6D51FB9280,Perk_Weapon_Muspelheim,Surtr's Grip of Flame,Axe Pommel
0367,,93ACF645AF11220D,Perk_Throw_OnHeadshot_Cooldown,Curved Recovery Handle,Axe Pommel
0329,,9A03B39C511BFF13,WeaponComponent_Axe_Valkyrie01,Valkyrie's Might,Axe Pommel
035E,,9DA85E5A6DD07029,WeaponComponent_Blades_OnKill_OffenseBuff,Deadly War Handles,Axe Pommel
033B,,A1407A486910A53F,WeaponComponent_Blades_Nidavellir01_Reinforce1,Blightguard Lvl2,Axe Pommel
0665,,A1B3C64520970BFF,WeaponComponent_NifleheimSpecial01_Reinforce2_NGP,Blightbringer + Lvl3,Axe Pommel
0678,,AA1C44285192C8C0,WeaponComponent_Blades_OnDamage_ProcFire_NGP,Explosive Grips of Fire,Axe Pommel
0681,,ACA76C51F8DD4AEB,WeaponComponent_Blades_Nidavellir01_NGP,Blightguard +,Axe Pommel
065D,,AD675AD0CB86655D,Perk_Weapon_Muspelheim_NGP,Surtr's Grip of Flame +,Axe Pommel
0355,,AF2E30D75A82C4B9,WeaponComponent_Blades_OnDamage_ProcFire,Explosive Grips of Fire,Axe Pommel
033C,,B0447A486910A53F,WeaponComponent_Blades_Nidavellir01_Reinforce2,Blightguard Lvl3,Axe Pommel
0326,,B19B7116597C5571,Perk_Offense_OnMeleeDamage_ProcFrost,Ymir's Breath,Axe Pommel
0352,,B352B44A484383F4,WeaponComponent_Blades_OnHeadshot_CooldownBurst,Precision Recovery Handles,Axe Pommel
0657,,BAB314470E329FEF,Perk_Offense_OnMeleeDamage_ProcFrost_NGP,Ymir's Breath,Axe Pommel
0346,,C1BE54FEBEC6FC4C,WeaponComponent_Blades_OnKill_RunicBuff,Deadly Grips of Magic,Axe Pommel
0385,,C33875A0ADAFB525,Perk_Offense_OnLaunch_Shield,Light Grip of Protection,Axe Pommel
0682,,C8CE155183D85EB9,WeaponComponent_Blades_Nidavellir01_Reinforce1_NGP,Blightguard + Lvl2,Axe Pommel
0661,,D5CB909E7CDCBE7F,WeaponComponent_Axe_Finisher_Reinforce1_NGP,Forbidden Grip of the Ages + lvl2,Axe Pommel
031F,,D73554A31A5A3D54,WeaponComponent_NifleheimSpecial01_Reinforce1,Blightbringer Lvl2,Axe Pommel
0320,,E63954A31A5A3D54,WeaponComponent_NifleheimSpecial01_Reinforce2,Blightbringer Lvl 3,Axe Pommel
0388,,E99F25273A7070C9,Perk_Offense_OnLaunch_OffenseBuff,Light War Handle,Axe Pommel
037C,,EDF143F9CC5121A7,Perk_Flat_OnKill_Rage,Deadly Grip of Fury,Axe Pommel
0373,,F7A610C04C86598E,Perk_Throw_OnHeadshot_OffenseBuff,Curved War Handle,Axe Pommel
0664,,F7E0A36391A607FF,WeaponComponent_NifleheimSpecial01_Reinforce1_NGP,Blightbringer + Lvl2,Axe Pommel
033A,,FD21669F5B5EF8BF,WeaponComponent_Blades_Nidavellir01,Blightguard,Axe Pommel
066C,,FEEFDF3F85252C90,WeaponComponent_Axe_Valkyrie01_NGP,Valkyrie's Might +,Axe Pommel
0343,,FFD3FAF3721D6AB0,WeaponComponent_Blades_OnKill_DefenseBuff,Deadly Grips of Protection,Axe Pommel
05E3,,0E2F9E9A69FB61A5,KratosArmorChest_MspDamageSet_Tier06_Reinforce1_NGP,Smoldering Brimstone Pauldron + Lvl2,Chest Armor
0598,,0FD03F4ABE9A21AE,KratosArmorChest_TyrSet_Tier06_NGP,Tyr's Lost Unity Cuirass +,Chest Armor
05F2,,19389742E43908AD,KratosArmorChest_NifSpeedSet_Tier06_NGP,Ivaldi's Spaulders of Cursed Mist +,Chest Armor
05CE,,3A18A40C83CD028D,KratosArmorChest_MspTankSet_Tier06_NGP,Breastplate of Fallen Ash +,Chest Armor
060F,,4339AAC6C42CC83D,KratosArmorChest_Bonus02,Cuirass of Zeus,Chest Armor
05FE,,470E962672ED11FB,KratosArmorChest_NifDamageSet_Tier06_Reinforce1_NGP,Ivaldi's Pauldron of Deadly Mist + Lvl2,Chest Armor
0618,,503DAAC6C42CC83D,KratosArmorChest_Bonus03,Cuirass of Ares,Chest Armor
05FB,,68D6F7F70AC45EAF,KratosArmorChest_NifDamageSet_Tier06_NGP,Ivaldi's Pauldron of Deadly Mist +,Chest Armor
05AA,,7146293F025D7B0D,KratosArmorChest_ElementalSet_Tier06_NGP,Pauldron of the Ancients +,Chest Armor
05D7,,84A036FFDBBF522C,KratosArmorChest_MspSpeedSet_Tier06_NGP,Blazing Magma Pauldrons +,Chest Armor
05A1,,8D6E8A6B455995DE,KratosArmorChest_TravelerSet_Tier06_NGP,Breastplate of the Traveler +,Chest Armor
05E6,,9B293CAAA215AAAA,KratosArmorChest_MspDamageSet_Tier06_Reinforce2_NGP,Smoldering Brimstone Pauldron + Lvl3,Chest Armor
05C5,,AFF2BFC2A5CA57B4,KratosArmorChest_ValkyrieSet_Tier06_NGP,Cuirass of the Valkyrie +,Chest Armor
05BC,,BBA761DDCA1716E0,KratosArmorChest_HuldraSindriSet_Tier06_NGP,Sindri's Royal Dwarven Breastplate +,Chest Armor
05E9,,BD6FCA0302FD7F8C,KratosArmorChest_NifTankSet_Tier06_NGP,Ivaldi's Cuirass of Endless Mist +,Chest Armor
05E0,,E665EB2F70E2B243,KratosArmorChest_MspDamageSet_Tier06_NGP,Smoldering Brimstone Pauldron +,Chest Armor
05B3,,E98DAFCF68C32489,KratosArmorChest_HuldraBrokSet_Tier06_NGP,Brok's Royal Dwarven Breastplate +,Chest Armor
0601,,FC4A6863C5CF12FB,KratosArmorChest_NifDamageSet_Tier06_Reinforce2_NGP,Ivaldi's Pauldron of Deadly Mist + Lvl3,Chest Armor
0390,,3354AF5D0F477803,RuneCreator_Unique_Alfheim,Fragmented Heart of Alfheim,Enchantments
039C,,43AF176CDD226DD8,RuneCreator_Unique_T2ShopVitality,Symbol of Menace,Enchantments
039F,,5D18B5C7D67AEABC,RuneCreator_Unique_T2ShopLuck,Symbol of Shadows,Enchantments
039D,,6F69D7C517ABFDB2,RuneCreator_Unique_T2ShopCooldown,Symbol of Defiance,Enchantments
039E,,7AFEFAB3CCB10486,RuneCreator_Unique_T2ShopRunic,Symbol of Cunning,Enchantments
0398,,86FFDC20CB8A5DA6,RuneCreator_Unique_FrostResist_Focus,Frost Sigil of Focus,Enchantments
0397,,B6FD829180E5D94F,RuneCreator_Unique_FrostResist_Defense,Frost Sigil of Defense,Enchantments
03D6,,1F03AB1C949A4EC1,FrostSpecialAxeTossGlaive,Glaive Storm,Heavy Runic Attack
03E3,,3095967637756272,BladeSpecialMeteorSlam,Meteoric Slam,Heavy Runic Attack
03D4,,35806A9273F4C14F,FrostSpecialAxeWeaponBuff,Blessings of the Frost,Heavy Runic Attack
03CF,,44AD0EF36A158399,FrostSpecialAxeUpwardSlice,Thiazi's Talon,Heavy Runic Attack
03E4,,59167A92A8E7DE0E,BladeSpecialGrapple,Hyperion Grapple,Heavy Runic Attack
03D2,,604E917F898A28EB,FrostSpecialAxeFlurryChop,Frost Giant's Frenzy,Heavy Runic Attack
03DF,,856EF6EB3A3199C1,BladeSpecialTripleSlam,Tartarus Rage,Heavy Runic Attack
03E2,,88AA8CF0F74009AB,BladeSpecialHopSlam,Hyperion Slam,Heavy Runic Attack
03D3,,88B9EF167D651B08,FrostSpecialAxeGandalfSlam,Breath of Thamur,Heavy Runic Attack
03E1,,A7163C33FC25F3A6,BladeSpecialMine,Prometheus Flame,Heavy Runic Attack
03D5,,B7DCB3631BD80A21,FrostSpecialAxeRake,The River of Knives,Heavy Runic Attack
03E5,,FA5A87AD34B23178,BladeSpecialWeaponBuff,Gift of Apollo,Heavy Runic Attack
03D7,,0EC53F0DCE48F3A6,BladeSpecialSpin,Cyclone of Chaos,Light Runic Attack
03CD,,1913D59338C5DABA,FrostSpecialAxeSwipeCharge,Strike of the Utgard,Light Runic Attack
03DE,,26B0F5C05C9255C2,BladeSpecialShieldRush,Spartan Charge,Light Runic Attack
03D9,,74F94A8ABCC51F22,BladeSpecialTwirlBarrage,Rampage of the Furies,Light Runic Attack
03CA,,904949AD129DB393,FrostSpecialAxeTossRail,Leviathan's Wake,Light Runic Attack
03D8,,B6833EE677321140,BladeSpecialFireClap,Nemean Crush,Light Runic Attack
03DA,,BA47518CB740E7EF,BladeSpecialFlurryStab,Rage of the Titans,Light Runic Attack
03C9,,BC8FFE3336B81763,FrostSpecialAxeTossGrind,Tyr's Revenge,Light Runic Attack
03DC,,D3400FDC79A70075,BladeSpecialCross,Wrath of Artemis,Light Runic Attack
03CC,,DFE2BF0451280B21,FrostSpecialAxeBeam,Wrath of the Frost Ancient,Light Runic Attack
03DB,,EF560388B040E7EF,BladeSpecialFlurrySpin,Icarus Storm,Light Runic Attack
0000,,8A9A9B831CF67C9C,EconomyXP,Xp,Main
0116,,3926F91F998D0F89,MuspelheimCipherComplete,Muspelheim Cipher Complete,Quest
0115,,48ECF23EF868FBE4,MuspelheimCipherPiece,Muspelheim Cipher Piece,Quest
0074,,04BE0462249E0A4A,OblivionStone,Oblivion Stone,Resources
0013,,192F9FBDE664A1D1,GolemLoot,Ancient's Rubble,Resources
0088,,1CA69E73CB038362,RareMuspelheimLoot01,Crest Of Flame,Resources
012F,,1E0E64AC3296C6E7,HuldraArmorToken_Legs,Dragon's Fury,Resources
0008,,23822D3BDC66EFEB,ValkyrieLoot01,Gunnr's Helm,Resources
0091,,2E64F43320665D84,NiflheimRareLootB,Niflheim Alloy,Resources
0009,,30862D3BDC66EFEB,ValkyrieLoot02,Göndul's Helmet,Resources
005F,,337BFCFB3702D3FE,ReinforcementRare,Hardened Svaralfheim Steel,Resources
0132,,3832900B4A8A614B,ResurrectionRuneStoneC,Berserker's Resurrection Stone,Resources
0092,,3D60F43320665D84,NiflheimRareLootC,Haze Weave,Resources
000A,,419A2D3BDC66EFEB,ValkyrieLoot03,Gierdriful's Helmet,Resources
0094,,42C18C7CF2F1CBF9,NifTankArmor_Chest_Pattern,Invaldi's Rusted Armor,Resources
006C,,4A6D4AF7E1AB5EFE,TalismanReinforcement,Dust of Realms,Resources
0075,,4D2C6B433E5AB2FF,AsgardianSteel,Assgadian Steel,Resources
005D,,4FE77DD1948E3D8E,ReinforcementCommon,Soft Svartalfheim Steel,Resources
000B,,569E2D3BDC66EFEB,ValkyrieLoot04,Kara's Helmet,Resources
0085,,620152A93E74457A,GlacialCatalyst,Glacial Catalyst,Resources
000C,,67922D3BDC66EFEB,ValkyrieLoot05,Ròta's Helmet,Resources
0127,,6B0EABB6B6D677E3,TyrOffering,Offering To Týr,Resources
009D,,6B80848F5FE35279,PristineOre,Pristine Ore of the Realm,Resources
0089,,6DBA9E73CB038362,RareMuspelheimLoot02,Greater Creast Of Flame,Resources
000D,,74962D3BDC66EFEB,ValkyrieLoot06,Eir's Helmet,Resources
008A,,7EBE9E73CB038362,RareMuspelheimLoot03,Crest Of Surtr,Resources
000E,,85EB2D3BDC66EFEB,ValkyrieLoot07,Hildr's Helmet,Resources
0065,,888DE11A0DA6CFDC,BladesReinforcement,Chaos Flame,Resources
000F,,8AEF2D3BDC66EFEB,ValkyrieLoot08,Olrun's Helmet,Resources
0119,,8C1434E3B5953692,EntryStoneVolundr,Völunder Entry Stone,Resources
012E,,8EA4875CD3D4A902,HuldraArmorToken_Wrist,Screams of the Innocent,Resources
0007,,9E5240D27406E85A,Hacksilver,Hacksilver,Resources
0014,,A0B61B936085580F,EnhancedGolemLoot,Ancient's Heart,Resources
0090,,A3CE6E0F87FFC5BA,NiflheimCurrency,Mist Echoes,Resources
009E,,A79B11843BD21C83,PristineScales,Pristine Scales of the Realm,Resources
009C,,A8E93C8F4E499C12,PristineRuneDust,Pristine Dust of the Realm,Resources
007F,,A9AF08C297618440,PerfectAsgardianSteel,Perfect Asgadian Steel,Resources
006F,,AC739C21D3A7AE21,LeiptrAlloy,Leiptr Alloy,Resources
0087,,B5AFC7502B0020F2,CommonMuspelheimLoot01,Smoldering Ember,Resources
0071,,C5A343BFEE8A9121,EternalFrost,Eternal Frost,Resources
0131,,CB0E900B4A8A614B,ResurrectionRuneStoneB,Superior Resurrection Stone,Resources
006D,,CB1D354180871B19,HiltReinforcement1,World Serpent Scale fragmen,Resources
0093,,CC9FF43320665D84,NiflheimRareLootD,Aesirbane,Resources
009B,,CD91C4975E6A48A3,RuneDust,Enchanted Dust,Resources
006E,,D419354180871B19,HiltReinforcement2,World Serpent Scale,Resources
0012,,DA0183D7A35F3534,EnhancedTravelerLoot,Traveler's Armor Shard,Resources
012A,,DFF503853109158A,DragonScale,Dragon Tear,Resources
006A,,E563B049BAB288DB,NiflheimAxeReinforcement,Chilling Mists of Niflheim,Resources
0011,,E971165C164C2606,TravelerLoot,Traveler's Grisly Trophy,Resources
012D,,EC3F370D42DC5103,HuldraArmorToken_Chest,Ultimate Sacrifice,Resources
0060,,EDB4476E71735CC3,AxeReinforcement,Frozen Flame,Resources
0086,,F09A7E73AFAAF298,PureRealmEssence,Pure Essence of Realms,Resources
0015,,F54355FA3AB3C7FF,BoatLoot,Aegir's Gold,Resources
0072,,F581A75E12B05129,UnyieldingCinders,Unyielding Cinders,Resources
005E,,FB088C3FEA99CDF9,ReinforcementUncommon,Solid Svartalfheim Steel,Resources
012C,,FB449B06DD010C67,UB_Token,Corrupted Remnant,Resources
0073,,FCC6B87B4C8E41DC,UnstableOre,Unstable Ore,Resources
0010,,FFAE6FD160FBD7E9,ValkyrieLootQueen,Sigrun's Helmet,Resources
00A5,,3A2A5DF99702CC97,AlfheimArtifact,Ty'r shard,Rune
043A,,22E5D1EF84E329CF,SummonRatatoskr,Bitter Squirrel,Runic Summon
043C,,70B355885C873BEF,SummonSouls,Murder of Crows,Runic Summon
0437,,B5D25EE7DABFC516,SummonFenrir,Wrath of the Wolf,Runic Summon
043B,,E06600B6510C1790,SummonBoar,Boar Stampede,Runic Summon
0438,,FEDC303F510C1790,SummonBird,Falcon's Dive,Runic Summon
04E6,,29FE9E9220F3630E,Bestiary_Unlock_Draugr_Base,Barrier of the Fjörd,Shield
0604,,6CD1A5DC2E2ADA0D,KratosShield_NGP01,Aegis of Reconciliation,Shield
0126,,083AE03A3B543765,WitchLeftHand,Gullveig's Right Hand,Special Items
0120,,10E59A54A2B2CAB7,EntryStoneHTTK_LH,Konùnsgard Entry Stone,Special Items
0054,,12AB24BF8C1915F9,HuldraRunicBonus,Mark of the Dwarves,Special Items
011B,,16375B6AB6F7579B,EntryStoneForestDungeon,Fáfnir's Entry Stone,Special Items
0155,,1B7F1BA84084222C,MaxRageUpgradeDisplay_Card,Horn Of Blood Mead,Special Items
011A,,25169F5AFD9F8909,EntryStoneNiflheim,Niflheim Entry Stone,Special Items
011E,,2C748DD585B8F7CA,EntryStoneVikingFuneral,Vivarium Key Stone,Special Items
0050,,418F903C792C6B9C,DefenseBoatLoot,Yggdrasil's Dew of Defense,Special Items
008D,,45476D97ED4CF464,MspArenaKey03,Key of the Third,Special Items
0124,,459E86FFDF63EC88,WitchSkull,Gullveig's Skull,Special Items
0122,,48C97FD37B19B9B4,UB_BrothersScroll,Son's Scroll,Special Items
008E,,54436D97ED4CF464,MspArenaKey04,Key of the Fourth,Special Items
0125,,56DE9E82B974F402,WitchRightHand,Gullveig's Left Hand,Special Items
004F,,623486F325B97A3A,RunicBoatLoot,Yggdrasil's Dew of Runic Power,Special Items
008F,,634F6D97ED4CF464,MspArenaKey05,Key of the Fifth,Special Items
0128,,67EFBA01DB066059,EnchantersRing,Alchemist's Ring,Special Items
0052,,6A13DB1C163C952D,FocusBoatLoot,Yggdrasil's Dew of Cooldown,Special Items
0051,,6D92A12B3DC4A427,ResistanceBoatLoot,Yggdrasil's Dew of Vitality,Special Items
011C,,8735462019BF60D0,EntryStoneHuldra2,Landsuther Entry Stone,Special Items
012B,,9109028CCF19638A,DragonTooth,Dragon Tooth,Special Items
008B,,A77F6D97ED4CF464,MspArenaKey01,Key of the First,Special Items
0154,,B42DDFD1FBD3ED7E,MaxHealthUpgradeDisplay_Card,Iðunn Apple,Special Items
011D,,B439462019BF60D0,EntryStoneHuldra3,Northri Entry Stonee,Special Items
008C,,B67B6D97ED4CF464,MspArenaKey02,Key of the Second,Special Items
0121,,C700EF05F08CAB7B,KeyStone,Völunder Entry Stone,Special Items
004E,,CC1B3E5C878842B3,StrengthBoatLoot,Yggdrasil's Dew of Strength,Special Items
011F,,D60E97A2CC71B73B,EntryStoneHTTK,Konùnsgard Stronghold Entry Stone,Special Items
0130,,DA0A900B4A8A614B,ResurrectionRuneStoneA,Simple Resurrection Stone,Special Items
0129,,E85105A46B1D5F6E,AndvarisHammer,Andvaris Hammer,Special Items
0053,,F3CBC3D285BFB35D,LuckBoatLoot,Yggdrasil's Dew of Luck,Special Items
,,0B72D37F6DC3F0F0,,Defense,Stats Runes
,,48B6FD1AC0CB4E01,,Runic,Stats Runes
,,57B8D16AF17D1E01,,CoolDown,Stats Runes
,,7A00D0F01CCEAB3A,,Strength,Stats Runes
,,93E62C7A854C0000,,Luck,Stats Runes
,,CBC51FB77C16F8F3,,Vitality,Stats Runes
02E6,,0290AA0A3136E656,Perk_Utility_Focus_Mode,Talisman of Betrayal,Talisman
0638,,04751D0400B74642,KratosArmorTrinket_RageMode_NGP,Talisman of Eternal Fury +,Talisman
02FB,,0A59274D44AA738A,KratosArmorTrinket_CurseActivation_Reinforce1,Talisman of Cursed Power Lvl2,Talisman
064F,,0E0D7DB7CDB752C9,KratosArmorTrinket_FrostActivation_Reinforce2_NGP,The Charm of Infinite Storms + Lvl3,Talisman
02BA,,1200A4C95B38F3A5,Perk_Defense_OnTakeDamage_Rage,Berserker's Rage Burst,Talisman
0631,,1491F30166528A57,Perk_Utility_Focus_Mode_NGP,Talisman of Betrayal +,Talisman
02F7,,198682D65001AF49,KratosArmorTrinket_Valkyrie,Talisman of the Realms,Talisman
02FE,,1ECE3AE26E8A2654,KratosArmorTrinket_FrostActivation,The Charm of the Infinite Storms,Talisman
0300,,2037B5D33741EC53,KratosArmorTrinket_FrostActivation_Reinforce2,The Charm of the Infinite Storms Lvl3,Talisman
0646,,271C76C13066B647,KratosArmorTrinket_Gauntlet_Reinforce2_NGP,Shattered Gauntlets of Ages + Lvl3,Talisman
02FD,,2C51274D44AA738A,KratosArmorTrinket_CurseActivation_Reinforce3,Talisman of Cursed Power Lvl4,Talisman
02CC,,2D2651270E0C8288,KratosArmorTrinket_RageMode,Talisman of Eternal Fury,Talisman
063D,,30AE70F8BF49F6DF,Perk_Talisman_WeaponSpecials_Runic_Reinforce2_NGP,Talisman of Unbound Potential + Lvl3,Talisman
063E,,3195542DDAE528EE,Perk_Talisman_Muspelheim_NGP,Sinmara's Cinder +,Talisman
0301,,3733B5D33741EC53,KratosArmorTrinket_FrostActivation_Reinforce3,The Charm of the Infinite Storms Lvl4,Talisman
02F6,,3AD8EA87E095EEDB,KratosArmorTrinket_Gauntlet_Reinforce2,Shattered Gauntlets of Ages Lvl3,Talisman
02FC,,3B55274D44AA738A,KratosArmorTrinket_CurseActivation_Reinforce2,Talisman of Cursed Power Lvl3,Talisman
00A0,,3BB0256E5DD3A455,VikingHorn,Horn of Heimdall,Talisman
0639,,3C13973CFF655B97,KratosArmorTrinket_RageMode_Reinforce1_NGP,Talisman of Eternal Fury + Lvl2,Talisman
02B6,,40180FF5197B2B67,Perk_Defense_OnParry_DefenseBuff,Duelist's Defense,Talisman
0629,,44C4565F57AD8B0C,Perk_Utility_JustEvade_Slowdown_NGP,Amulet of Kvasir +,Talisman
0625,,48A0B71F6E909F8C,KratosArmorTrinket_Parry_NGP,Golden Talisman of Protection +,Talisman
064A,,49F1D40E6AAB424F,KratosArmorTrinket_CurseActivation_NGP,Talisman of Cursed Power +,Talisman
02F5,,4BC4EA87E095EEDB,KratosArmorTrinket_Gauntlet_Reinforce1,Shattered Gauntlets of Ages Lvl2,Talisman
02FF,,512BB5D33741EC53,KratosArmorTrinket_FrostActivation_Reinforce1,The Charm of the Infinite Storms Lvl2,Talisman
0645,,5704993229804047,KratosArmorTrinket_Gauntlet_Reinforce1_NGP,Shattered Gauntlets of Ages + Lvl2,Talisman
02B2,,5EEA717183EACF25,Perk_Defense_OnBlock_Rage_Flat,Idol of Patience,Talisman
02DE,,6279352599724035,Perk_Utility_JustEvade_Slowdown,Amulet of Kvasir,Talisman
064D,,713F437C5EA033F8,KratosArmorTrinket_FrostActivation_NGP,The Charm of Infinite Storms +,Talisman
02BF,,7CE0F7A8904A3506,Perk_Kill_Any_OffenseBuff,Slayer's Strength,Talisman
02B7,,7D29C4A8140BCE11,Perk_Defense_OnParry_OffenseBuff,Duelist's Strength,Talisman
02FA,,7EBB95484934C5D3,KratosArmorTrinket_CurseActivation,Talisman of Cursed Power,Talisman
